pacto,comuna,votos
Vamos por Chile,CAMINA,65
Apruebo Dignidad,CANELA,1013
Del pueblo,CANELA,1482
Lista del apruebo,CANELA,411
Otros,CANELA,1059
Vamos por Chile,CANELA,473
Apruebo Dignidad,CANETE,1875
Lista del apruebo,CANETE,567
Nueva Constitucion,CANETE,729
Otros,CANETE,1449
Vamos por Chile,CANETE,1899
Apruebo Dignidad,CARAHUE,375
Del pueblo,CARAHUE,4420
Lista del apruebo,CARAHUE,391
Nueva Constitucion,CARAHUE,328
Otros,CARAHUE,909
Vamos por Chile,CARAHUE,868
Apruebo Dignidad,CARTAGENA,1829
Del pueblo,CARTAGENA,1254
Lista del apruebo,CARTAGENA,1195
Nueva Constitucion,CARTAGENA,599
Otros,CARTAGENA,1244
Vamos por Chile,CARTAGENA,1247
Apruebo Dignidad,CASABLANCA,1920
Del pueblo,CASABLANCA,1595
Lista del apruebo,CASABLANCA,2205
Nueva Constitucion,CASABLANCA,576
Otros,CASABLANCA,1196
Vamos por Chile,CASABLANCA,1902
Apruebo Dignidad,CASTRO,967
Del pueblo,CASTRO,3888
Lista del apruebo,CASTRO,4443
Nueva Constitucion,CASTRO,1009
Otros,CASTRO,649
Vamos por Chile,CASTRO,1635
Apruebo Dignidad,CATEMU,434
Del pueblo,CATEMU,570
Lista del apruebo,CATEMU,1348
Nueva Constitucion,CATEMU,375
Otros,CATEMU,1962
Vamos por Chile,CATEMU,445
Apruebo Dignidad,CAUQUENES,434
Del pueblo,CAUQUENES,3008
Lista del apruebo,CAUQUENES,1348
Nueva Constitucion,CAUQUENES,375
Otros,CAUQUENES,1962
Vamos por Chile,CAUQUENES,445
Apruebo Dignidad,CERRILLOS,8692
Del pueblo,CERRILLOS,4900
Lista del apruebo,CERRILLOS,2807
Otros,CERRILLOS,6108
Vamos por Chile,CERRILLOS,4217
Apruebo Dignidad,CERRO NAVIA,10167
Del pueblo,CERRO NAVIA,21341
Lista del apruebo,CERRO NAVIA,3868
Nueva Constitucion,CERRO NAVIA,3757
Otros,CERRO NAVIA,9782
Vamos por Chile,CERRO NAVIA,3307
Apruebo Dignidad,CHAITEN,111
Del pueblo,CHAITEN,67
Lista del apruebo,CHAITEN,121
Nueva Constitucion,CHAITEN,901
Otros,CHAITEN,97
Vamos por Chile,CHAITEN,366
Apruebo Dignidad,CHANARAL,701
Del pueblo,CHANARAL,540
Lista del apruebo,CHANARAL,527
Nueva Constitucion,CHANARAL,403
Otros,CHANARAL,2208
Vamos por Chile,CHANARAL,291
Apruebo Dignidad,CHANCO,428
Del pueblo,CHANCO,2092
Lista del apruebo,CHANCO,546
Vamos por Chile,CHANCO,1015
Apruebo Dignidad,CHEPICA,994
Del pueblo,CHEPICA,368
Lista del apruebo,CHEPICA,1148
Otros,CHEPICA,1130
Vamos por Chile,CHEPICA,1329
Apruebo Dignidad,CHIGUAYANTE,4368
Del pueblo,CHIGUAYANTE,3234
Lista del apruebo,CHIGUAYANTE,4473
Nueva Constitucion,CHIGUAYANTE,3216
Otros,CHIGUAYANTE,7715
Vamos por Chile,CHIGUAYANTE,5073
Apruebo Dignidad,CHILE CHICO,303
Del pueblo,CHILE CHICO,390
Lista del apruebo,CHILE CHICO,521
Otros,CHILE CHICO,206
Vamos por Chile,CHILE CHICO,426
Apruebo Dignidad,CHILLAN,5109
Del pueblo,CHILLAN,12511
Lista del apruebo,CHILLAN,7415
Nueva Constitucion,CHILLAN,7155
Otros,CHILLAN,7415
Vamos por Chile,CHILLAN,12383
Apruebo Dignidad,CHILLAN VIEJO,882
Del pueblo,CHILLAN VIEJO,1876
Lista del apruebo,CHILLAN VIEJO,1271
Nueva Constitucion,CHILLAN VIEJO,1578
Otros,CHILLAN VIEJO,1713
Vamos por Chile,CHILLAN VIEJO,1712
Apruebo Dignidad,CHIMBARONGO,882
Del pueblo,CHIMBARONGO,930
Lista del apruebo,CHIMBARONGO,1271
Nueva Constitucion,CHIMBARONGO,1578
Otros,CHIMBARONGO,1713
Vamos por Chile,CHIMBARONGO,1712
Apruebo Dignidad,CHOLCHOL,211
Del pueblo,CHOLCHOL,339
Lista del apruebo,CHOLCHOL,254
Nueva Constitucion,CHOLCHOL,207
Otros,CHOLCHOL,640
Vamos por Chile,CHOLCHOL,324
Apruebo Dignidad,CHONCHI,316
Del pueblo,CHONCHI,1122
Lista del apruebo,CHONCHI,1648
Nueva Constitucion,CHONCHI,334
Otros,CHONCHI,234
Vamos por Chile,CHONCHI,765
Apruebo Dignidad,CISNES,241
Del pueblo,CISNES,330
Lista del apruebo,CISNES,270
Otros,CISNES,170
Vamos por Chile,CISNES,679
Apruebo Dignidad,COBQUECURA,579
Del pueblo,COBQUECURA,564
Lista del apruebo,COBQUECURA,310
Nueva Constitucion,COBQUECURA,367
Otros,COBQUECURA,372
Vamos por Chile,COBQUECURA,652
Apruebo Dignidad,COCHAMO,206
Del pueblo,COCHAMO,196
Lista del apruebo,COCHAMO,182
Nueva Constitucion,COCHAMO,273
Otros,COCHAMO,139
Vamos por Chile,COCHAMO,420
Apruebo Dignidad,COCHRANE,206
Del pueblo,COCHRANE,196
Lista del apruebo,COCHRANE,182
Nueva Constitucion,COCHRANE,273
Otros,COCHRANE,139
Vamos por Chile,COCHRANE,420
Apruebo Dignidad,CODEGUA,555
Del pueblo,CODEGUA,1344
Lista del apruebo,CODEGUA,782
Otros,CODEGUA,2318
Vamos por Chile,CODEGUA,726
