pacto,comuna,votos
Nueva Constitucion,LANCO,310
Otros,LANCO,818
Vamos por Chile,LANCO,1028
Apruebo Dignidad,LAS CABRAS,1272
Del pueblo,LAS CABRAS,1805
Lista del apruebo,LAS CABRAS,1194
Otros,LAS CABRAS,2334
Vamos por Chile,LAS CABRAS,1581
Apruebo Dignidad,LAS CONDES,1272
Del pueblo,LAS CONDES,6381
Lista del apruebo,LAS CONDES,1194
Otros,LAS CONDES,4139
Vamos por Chile,LAS CONDES,1581
Apruebo Dignidad,LAUTARO,222
Del pueblo,LAUTARO,1429
Lista del apruebo,LAUTARO,2477
Nueva Constitucion,LAUTARO,1099
Otros,LAUTARO,1858
Vamos por Chile,LAUTARO,1851
Apruebo Dignidad,LEBU,222
Lista del apruebo,LEBU,2477
Nueva Constitucion,LEBU,1099
Otros,LEBU,1858
Vamos por Chile,LEBU,1851
Apruebo Dignidad,LICANTEN,365
Del pueblo,LICANTEN,393
Lista del apruebo,LICANTEN,548
Nueva Constitucion,LICANTEN,303
Otros,LICANTEN,643
Vamos por Chile,LICANTEN,893
Apruebo Dignidad,LIMACHE,2688
Del pueblo,LIMACHE,2390
Lista del apruebo,LIMACHE,1919
Nueva Constitucion,LIMACHE,2482
Otros,LIMACHE,3308
Vamos por Chile,LIMACHE,3449
Apruebo Dignidad,LINARES,4223
Del pueblo,LINARES,9688
Lista del apruebo,LINARES,5962
Vamos por Chile,LINARES,7778
Apruebo Dignidad,LITUECHE,837
Lista del apruebo,LITUECHE,380
Otros,LITUECHE,1177
Vamos por Chile,LITUECHE,931
Apruebo Dignidad,LLAILLAY,3288
Del pueblo,LLAILLAY,1120
Lista del apruebo,LLAILLAY,1173
Nueva Constitucion,LLAILLAY,685
Otros,LLAILLAY,1913
Vamos por Chile,LLAILLAY,842
Apruebo Dignidad,LLANQUIHUE,1103
Del pueblo,LLANQUIHUE,380
Lista del apruebo,LLANQUIHUE,1205
Nueva Constitucion,LLANQUIHUE,603
Otros,LLANQUIHUE,829
Vamos por Chile,LLANQUIHUE,1278
Apruebo Dignidad,LO BARNECHEA,3603
Del pueblo,LO BARNECHEA,2284
Lista del apruebo,LO BARNECHEA,3672
Nueva Constitucion,LO BARNECHEA,873
Otros,LO BARNECHEA,7206
Vamos por Chile,LO BARNECHEA,30654
Apruebo Dignidad,LO ESPEJO,7153
Del pueblo,LO ESPEJO,8583
Lista del apruebo,LO ESPEJO,6822
Otros,LO ESPEJO,8630
Vamos por Chile,LO ESPEJO,2600
Apruebo Dignidad,LO PRADO,6531
Del pueblo,LO PRADO,7342
Lista del apruebo,LO PRADO,4522
Nueva Constitucion,LO PRADO,3605
Otros,LO PRADO,8272
Vamos por Chile,LO PRADO,3029
Apruebo Dignidad,LOLOL,608
Del pueblo,LOLOL,330
Lista del apruebo,LOLOL,640
Otros,LOLOL,842
Vamos por Chile,LOLOL,902
Apruebo Dignidad,LONCOCHE,656
Del pueblo,LONCOCHE,941
Lista del apruebo,LONCOCHE,665
Nueva Constitucion,LONCOCHE,726
Otros,LONCOCHE,1609
Vamos por Chile,LONCOCHE,1252
Apruebo Dignidad,LONGAVI,1267
Del pueblo,LONGAVI,3152
Lista del apruebo,LONGAVI,2674
Vamos por Chile,LONGAVI,2496
Apruebo Dignidad,LONQUIMAY,81
Del pueblo,LONQUIMAY,161
Lista del apruebo,LONQUIMAY,877
Nueva Constitucion,LONQUIMAY,156
Otros,LONQUIMAY,375
Vamos por Chile,LONQUIMAY,732
Apruebo Dignidad,LOS ALAMOS,1257
Lista del apruebo,LOS ALAMOS,525
Nueva Constitucion,LOS ALAMOS,720
Otros,LOS ALAMOS,2186
Vamos por Chile,LOS ALAMOS,1015
Apruebo Dignidad,LOS ANDES,3282
Del pueblo,LOS ANDES,4012
Lista del apruebo,LOS ANDES,3924
Nueva Constitucion,LOS ANDES,2177
Otros,LOS ANDES,5477
Vamos por Chile,LOS ANDES,3476
Apruebo Dignidad,LOS ANGELES,3761
Lista del apruebo,LOS ANGELES,10546
Nueva Constitucion,LOS ANGELES,5990
Otros,LOS ANGELES,12165
Vamos por Chile,LOS ANGELES,11776
Apruebo Dignidad,LOS LAGOS,1200
Del pueblo,LOS LAGOS,505
Lista del apruebo,LOS LAGOS,1948
Nueva Constitucion,LOS LAGOS,390
Otros,LOS LAGOS,875
Vamos por Chile,LOS LAGOS,1052
Apruebo Dignidad,LOS MUERMOS,463
Del pueblo,LOS MUERMOS,216
Lista del apruebo,LOS MUERMOS,924
Nueva Constitucion,LOS MUERMOS,409
Otros,LOS MUERMOS,688
Vamos por Chile,LOS MUERMOS,1705
Apruebo Dignidad,LOS SAUCES,78
Del pueblo,LOS SAUCES,261
Lista del apruebo,LOS SAUCES,444
Nueva Constitucion,LOS SAUCES,385
Otros,LOS SAUCES,429
Vamos por Chile,LOS SAUCES,1060
Apruebo Dignidad,LOS VILOS,773
Del pueblo,LOS VILOS,2339
Lista del apruebo,LOS VILOS,1033
Otros,LOS VILOS,1683
Vamos por Chile,LOS VILOS,909
Apruebo Dignidad,LOTA,3827
Lista del apruebo,LOTA,3383
Nueva Constitucion,LOTA,3491
Otros,LOTA,4464
Vamos por Chile,LOTA,3189
Apruebo Dignidad,LUMACO,59
Del pueblo,LUMACO,223
Lista del apruebo,LUMACO,649
Nueva Constitucion,LUMACO,202
Otros,LUMACO,302
Vamos por Chile,LUMACO,1428
Apruebo Dignidad,MACHALI,3125
Del pueblo,MACHALI,3076
Lista del apruebo,MACHALI,2452
Otros,MACHALI,5631
Vamos por Chile,MACHALI,3813
Apruebo Dignidad,MACUL,9593
Del pueblo,MACUL,6634
Lista del apruebo,MACUL,6677
Nueva Constitucion,MACUL,5365
Otros,MACUL,10699
Vamos por Chile,MACUL,6944
Apruebo Dignidad,MAFIL,217
Del pueblo,MAFIL,257
Lista del apruebo,MAFIL,561
Nueva Constitucion,MAFIL,191
Otros,MAFIL,431
Vamos por Chile,MAFIL,1153
Apruebo Dignidad,MAIPU,65584
Del pueblo,MAIPU,36418
Lista del apruebo,MAIPU,17241
Otros,MAIPU,38687
Vamos por Chile,MAIPU,25315
Apruebo Dignidad,MALLOA,575
Del pueblo,MALLOA,873
Lista del apruebo,MALLOA,738
Otros,MALLOA,1847
Vamos por Chile,MALLOA,952
Apruebo Dignidad,MARCHIGUE,279
Del pueblo,MARCHIGUE,306
Lista del apruebo,MARCHIGUE,252
Otros,MARCHIGUE,2320
Vamos por Chile,MARCHIGUE,606
Apruebo Dignidad,MARIA ELENA,279
Del pueblo,MARIA ELENA,350
Lista del apruebo,MARIA ELENA,252
Otros,MARIA ELENA,2320
Vamos por Chile,MARIA ELENA,606
Apruebo Dignidad,MARIA PINTO,1184
Del pueblo,MARIA PINTO,720
Lista del apruebo,MARIA PINTO,1045
Nueva Constitucion,MARIA PINTO,630
Otros,MARIA PINTO,263
Vamos por Chile,MARIA PINTO,1112
Apruebo Dignidad,MARIQUINA,529
Del pueblo,MARIQUINA,641
Lista del apruebo,MARIQUINA,1211
Nueva Constitucion,MARIQUINA,400
Otros,MARIQUINA,888
Vamos por Chile,MARIQUINA,1100
Apruebo Dignidad,MAULE,529
Del pueblo,MAULE,1040
Lista del apruebo,MAULE,1211
Nueva Constitucion,MAULE,400
Otros,MAULE,888
Vamos por Chile,MAULE,1100
Apruebo Dignidad,MAULLIN,523
Del pueblo,MAULLIN,687
Lista del apruebo,MAULLIN,738
Nueva Constitucion,MAULLIN,891
Otros,MAULLIN,329
Vamos por Chile,MAULLIN,1726
Apruebo Dignidad,MEJILLONES,722
Del pueblo,MEJILLONES,462
Lista del apruebo,MEJILLONES,691
Nueva Constitucion,MEJILLONES,372
Otros,MEJILLONES,1796
Vamos por Chile,MEJILLONES,397
Apruebo Dignidad,MELIPEUCO,71
Del pueblo,MELIPEUCO,226
Lista del apruebo,MELIPEUCO,449
Nueva Constitucion,MELIPEUCO,183
Otros,MELIPEUCO,385
Vamos por Chile,MELIPEUCO,349
Apruebo Dignidad,MELIPILLA,71
Del pueblo,MELIPILLA,3649
Lista del apruebo,MELIPILLA,449
Nueva Constitucion,MELIPILLA,183
Otros,MELIPILLA,385
Vamos por Chile,MELIPILLA,349
Apruebo Dignidad,MOLINA,3127
Del pueblo,MOLINA,3643
Lista del apruebo,MOLINA,2654
Nueva Constitucion,MOLINA,1406
Otros,MOLINA,2305
Vamos por Chile,MOLINA,3339
Apruebo Dignidad,MONTE PATRIA,1209
Del pueblo,MONTE PATRIA,2205
Lista del apruebo,MONTE PATRIA,1856
Otros,MONTE PATRIA,3320
Vamos por Chile,MONTE PATRIA,1525
Apruebo Dignidad,MOSTAZAL,1209
Del pueblo,MOSTAZAL,1785
Lista del apruebo,MOSTAZAL,1856
Otros,MOSTAZAL,3320
Vamos por Chile,MOSTAZAL,1525
Apruebo Dignidad,MULCHEN,936
Lista del apruebo,MULCHEN,1948
Nueva Constitucion,MULCHEN,1376
Otros,MULCHEN,2178
Vamos por Chile,MULCHEN,1395
Apruebo Dignidad,NACIMIENTO,831
Lista del apruebo,NACIMIENTO,656
Nueva Constitucion,NACIMIENTO,725
Otros,NACIMIENTO,5204
Vamos por Chile,NACIMIENTO,955
Apruebo Dignidad,NANCAGUA,1196
Del pueblo,NANCAGUA,515
Lista del apruebo,NANCAGUA,1522
Otros,NANCAGUA,1628
Vamos por Chile,NANCAGUA,1469
Apruebo Dignidad,NATALES,1196
Del pueblo,NATALES,1821
Lista del apruebo,NATALES,1522
Otros,NATALES,1628
Vamos por Chile,NATALES,1469
Apruebo Dignidad,NAVIDAD,1026
Del pueblo,NAVIDAD,327
Lista del apruebo,NAVIDAD,834
Nueva Constitucion,NAVIDAD,333
Otros,NAVIDAD,1860
Vamos por Chile,NAVIDAD,1049
Apruebo Dignidad,NEGRETE,337
Lista del apruebo,NEGRETE,433
Nueva Constitucion,NEGRETE,317
Otros,NEGRETE,2127
Vamos por Chile,NEGRETE,480
Apruebo Dignidad,NINHUE,1442
Del pueblo,NINHUE,217
Lista del apruebo,NINHUE,280
Nueva Constitucion,NINHUE,298
Otros,NINHUE,368
Vamos por Chile,NINHUE,611
Apruebo Dignidad,NIQUEN,372
Del pueblo,NIQUEN,542
Lista del apruebo,NIQUEN,337
Nueva Constitucion,NIQUEN,504
Otros,NIQUEN,802
Vamos por Chile,NIQUEN,1256
Apruebo Dignidad,NOGALES,1579
Del pueblo,NOGALES,1479
Lista del apruebo,NOGALES,1324
Nueva Constitucion,NOGALES,822
Otros,NOGALES,2513
Vamos por Chile,NOGALES,853
Apruebo Dignidad,NUEVA IMPERIAL,963
Del pueblo,NUEVA IMPERIAL,1029
Lista del apruebo,NUEVA IMPERIAL,897
Nueva Constitucion,NUEVA IMPERIAL,795
Otros,NUEVA IMPERIAL,2254
Vamos por Chile,NUEVA IMPERIAL,1239
Apruebo Dignidad,NUNOA,28557
Del pueblo,NUNOA,7298
Lista del apruebo,NUNOA,13343
Nueva Constitucion,NUNOA,14104
Otros,NUNOA,18890
Vamos por Chile,NUNOA,25742
Apruebo Dignidad,O'HIGGINS,114
Del pueblo,O'HIGGINS,51
Lista del apruebo,O'HIGGINS,53
Otros,O'HIGGINS,33
Vamos por Chile,O'HIGGINS,93
Apruebo Dignidad,OLIVAR,499
Del pueblo,OLIVAR,1366
Lista del apruebo,OLIVAR,1137
Otros,OLIVAR,1579
Vamos por Chile,OLIVAR,1069
Apruebo Dignidad,OLLAGUE,22
Del pueblo,OLLAGUE,23
Lista del apruebo,OLLAGUE,11
Nueva Constitucion,OLLAGUE,21
Otros,OLLAGUE,53
Vamos por Chile,OLLAGUE,35
Apruebo Dignidad,OLMUE,22
Del pueblo,OLMUE,928
Lista del apruebo,OLMUE,11
Nueva Constitucion,OLMUE,21
Otros,OLMUE,53
Vamos por Chile,OLMUE,35
Apruebo Dignidad,OSORNO,6985
Del pueblo,OSORNO,3367
Lista del apruebo,OSORNO,9340
Nueva Constitucion,OSORNO,5400
Otros,OSORNO,5501
Vamos por Chile,OSORNO,11826
Apruebo Dignidad,OVALLE,8967
Del pueblo,OVALLE,4275
Lista del apruebo,OVALLE,4035
Otros,OVALLE,6749
Vamos por Chile,OVALLE,5376
Apruebo Dignidad,PADRE HURTADO,5379
Del pueblo,PADRE HURTADO,4881
Lista del apruebo,PADRE HURTADO,3318
Nueva Constitucion,PADRE HURTADO,3194
Otros,PADRE HURTADO,1121
Vamos por Chile,PADRE HURTADO,2889
Apruebo Dignidad,PADRE LAS CASAS,2071
Del pueblo,PADRE LAS CASAS,1612
Lista del apruebo,PADRE LAS CASAS,1549
Nueva Constitucion,PADRE LAS CASAS,1593
Otros,PADRE LAS CASAS,3465
Vamos por Chile,PADRE LAS CASAS,1987
Apruebo Dignidad,PAIHUANO,221
Del pueblo,PAIHUANO,553
Lista del apruebo,PAIHUANO,542
Otros,PAIHUANO,733
Vamos por Chile,PAIHUANO,628
Apruebo Dignidad,PAILLACO,936
Del pueblo,PAILLACO,607
Lista del apruebo,PAILLACO,2987
Nueva Constitucion,PAILLACO,383
Otros,PAILLACO,808
Vamos por Chile,PAILLACO,1196
Apruebo Dignidad,PAINE,7057
Del pueblo,PAINE,2278
Lista del apruebo,PAINE,3275
Nueva Constitucion,PAINE,2741
Otros,PAINE,1277
Vamos por Chile,PAINE,4027
Apruebo Dignidad,PALENA,18
Del pueblo,PALENA,19
Lista del apruebo,PALENA,42
Nueva Constitucion,PALENA,634
Otros,PALENA,24
Vamos por Chile,PALENA,157
Apruebo Dignidad,PALMILLA,733
Del pueblo,PALMILLA,397
Lista del apruebo,PALMILLA,746
Otros,PALMILLA,1303
Vamos por Chile,PALMILLA,1417
Apruebo Dignidad,PANGUIPULLI,1197
Del pueblo,PANGUIPULLI,1191
Lista del apruebo,PANGUIPULLI,1175
Nueva Constitucion,PANGUIPULLI,1144
Otros,PANGUIPULLI,1359
Vamos por Chile,PANGUIPULLI,1688
Apruebo Dignidad,PANQUEHUE,395
Del pueblo,PANQUEHUE,452
Lista del apruebo,PANQUEHUE,772
Nueva Constitucion,PANQUEHUE,343
Otros,PANQUEHUE,759
Vamos por Chile,PANQUEHUE,549
Apruebo Dignidad,PAPUDO,1202
Del pueblo,PAPUDO,361
Lista del apruebo,PAPUDO,453
Nueva Constitucion,PAPUDO,225
Otros,PAPUDO,682
Vamos por Chile,PAPUDO,736
Apruebo Dignidad,PAREDONES,1059
Del pueblo,PAREDONES,370
Lista del apruebo,PAREDONES,596
Otros,PAREDONES,701
Vamos por Chile,PAREDONES,943
Apruebo Dignidad,PARRAL,955
Del pueblo,PARRAL,5512
Lista del apruebo,PARRAL,1735
Vamos por Chile,PARRAL,5973
Apruebo Dignidad,PEDRO AGUIRRE CERDA,7039
Del pueblo,PEDRO AGUIRRE CERDA,10557
Lista del apruebo,PEDRO AGUIRRE CERDA,7706
Otros,PEDRO AGUIRRE CERDA,9727
Vamos por Chile,PEDRO AGUIRRE CERDA,3396
Apruebo Dignidad,PELARCO,588
Del pueblo,PELARCO,266
Lista del apruebo,PELARCO,452
Nueva Constitucion,PELARCO,255
Otros,PELARCO,554
Vamos por Chile,PELARCO,1374
Apruebo Dignidad,PELLUHUE,1254
Del pueblo,PELLUHUE,1115
Lista del apruebo,PELLUHUE,874
Vamos por Chile,PELLUHUE,829
Apruebo Dignidad,PEMUCO,368
Del pueblo,PEMUCO,443
Lista del apruebo,PEMUCO,635
Nueva Constitucion,PEMUCO,427
Otros,PEMUCO,460
Vamos por Chile,PEMUCO,1203
Apruebo Dignidad,PENAFLOR,8075
Del pueblo,PENAFLOR,8283
Lista del apruebo,PENAFLOR,5581
Nueva Constitucion,PENAFLOR,4541
Otros,PENAFLOR,1950
Vamos por Chile,PENAFLOR,5173
Apruebo Dignidad,PENALOLEN,20363
Del pueblo,PENALOLEN,20026
Lista del apruebo,PENALOLEN,10066
Nueva Constitucion,PENALOLEN,4665
Otros,PENALOLEN,16657
Vamos por Chile,PENALOLEN,9713
Apruebo Dignidad,PENCAHUE,992
Del pueblo,PENCAHUE,372
Lista del apruebo,PENCAHUE,616
Nueva Constitucion,PENCAHUE,372
Otros,PENCAHUE,682
Vamos por Chile,PENCAHUE,1975
Apruebo Dignidad,PENCO,2527
Del pueblo,PENCO,2308
Lista del apruebo,PENCO,3061
Nueva Constitucion,PENCO,2229
Otros,PENCO,5109
Vamos por Chile,PENCO,2297
Apruebo Dignidad,PERALILLO,20363
Lista del apruebo,PERALILLO,10101
Nueva Constitucion,PERALILLO,4665
Otros,PERALILLO,16657
Vamos por Chile,PERALILLO,9713
Apruebo Dignidad,PERQUENCO,76
Del pueblo,PERQUENCO,252
Lista del apruebo,PERQUENCO,620
Nueva Constitucion,PERQUENCO,242
Otros,PERQUENCO,459
Vamos por Chile,PERQUENCO,492
Apruebo Dignidad,PETORCA,2103
Del pueblo,PETORCA,335
Lista del apruebo,PETORCA,506
Nueva Constitucion,PETORCA,318
Otros,PETORCA,466
Vamos por Chile,PETORCA,410
Apruebo Dignidad,PEUMO,946
Del pueblo,PEUMO,909
Lista del apruebo,PEUMO,868
Otros,PEUMO,2481
Vamos por Chile,PEUMO,804
Apruebo Dignidad,PICA,393
Lista del apruebo,PICA,136
Otros,PICA,773
Vamos por Chile,PICA,550
Apruebo Dignidad,PICHIDEGUA,1116
Del pueblo,PICHIDEGUA,3524
Lista del apruebo,PICHIDEGUA,469
Otros,PICHIDEGUA,1046
Vamos por Chile,PICHIDEGUA,834
Apruebo Dignidad,PICHILEMU,1363
Del pueblo,PICHILEMU,3244
Lista del apruebo,PICHILEMU,893
Otros,PICHILEMU,1110
Vamos por Chile,PICHILEMU,1694
Apruebo Dignidad,PINTO,336
Del pueblo,PINTO,644
Lista del apruebo,PINTO,529
Nueva Constitucion,PINTO,531
Otros,PINTO,689
Vamos por Chile,PINTO,1559
Apruebo Dignidad,PIRQUE,1580
Del pueblo,PIRQUE,1194
Lista del apruebo,PIRQUE,560
Nueva Constitucion,PIRQUE,2697
Otros,PIRQUE,2135
Vamos por Chile,PIRQUE,3368
Apruebo Dignidad,PITRUFQUEN,843
Del pueblo,PITRUFQUEN,679
Lista del apruebo,PITRUFQUEN,869
Nueva Constitucion,PITRUFQUEN,709
Otros,PITRUFQUEN,1896
Vamos por Chile,PITRUFQUEN,1621
Apruebo Dignidad,PLACILLA,1025
Del pueblo,PLACILLA,419
Lista del apruebo,PLACILLA,921
Otros,PLACILLA,741
Vamos por Chile,PLACILLA,933
Apruebo Dignidad,PORTEZUELO,284
Del pueblo,PORTEZUELO,329
Lista del apruebo,PORTEZUELO,331
Nueva Constitucion,PORTEZUELO,298
Otros,PORTEZUELO,328
Vamos por Chile,PORTEZUELO,767
Apruebo Dignidad,PORVENIR,95
Del pueblo,PORVENIR,699
Lista del apruebo,PORVENIR,137
Nueva Constitucion,PORVENIR,34
Otros,PORVENIR,1013
Vamos por Chile,PORVENIR,217
Apruebo Dignidad,POZO ALMONTE,787
Lista del apruebo,POZO ALMONTE,313
Otros,POZO ALMONTE,1700
Vamos por Chile,POZO ALMONTE,540
Apruebo Dignidad,PRIMAVERA,45
Del pueblo,PRIMAVERA,65
Lista del apruebo,PRIMAVERA,126
Nueva Constitucion,PRIMAVERA,45
Otros,PRIMAVERA,112
Vamos por Chile,PRIMAVERA,69
Apruebo Dignidad,PROVIDENCIA,18751
Del pueblo,PROVIDENCIA,3164
Lista del apruebo,PROVIDENCIA,10068
Nueva Constitucion,PROVIDENCIA,11282
Otros,PROVIDENCIA,9999
Vamos por Chile,PROVIDENCIA,31476
Apruebo Dignidad,PUCHUNCAVI,979
Del pueblo,PUCHUNCAVI,1360
Lista del apruebo,PUCHUNCAVI,811
Nueva Constitucion,PUCHUNCAVI,1503
Otros,PUCHUNCAVI,2182
Vamos por Chile,PUCHUNCAVI,1157
Apruebo Dignidad,PUCON,743
Del pueblo,PUCON,1300
Lista del apruebo,PUCON,669
Nueva Constitucion,PUCON,798
Otros,PUCON,3014
Vamos por Chile,PUCON,1860
Apruebo Dignidad,PUDAHUEL,23413
Del pueblo,PUDAHUEL,14391
Lista del apruebo,PUDAHUEL,6466
Otros,PUDAHUEL,15596
Vamos por Chile,PUDAHUEL,6956
Apruebo Dignidad,PUENTE ALTO,25369
Del pueblo,PUENTE ALTO,35245
Lista del apruebo,PUENTE ALTO,7898
Nueva Constitucion,PUENTE ALTO,29665
Otros,PUENTE ALTO,39368
Vamos por Chile,PUENTE ALTO,24749
Apruebo Dignidad,PUERTO MONTT,10291
Del pueblo,PUERTO MONTT,13613
Lista del apruebo,PUERTO MONTT,13616
Nueva Constitucion,PUERTO MONTT,8485
Otros,PUERTO MONTT,5166
Vamos por Chile,PUERTO MONTT,15711
Apruebo Dignidad,PUERTO OCTAY,516
Del pueblo,PUERTO OCTAY,171
Lista del apruebo,PUERTO OCTAY,631
Nueva Constitucion,PUERTO OCTAY,352
Otros,PUERTO OCTAY,299
Vamos por Chile,PUERTO OCTAY,887
Apruebo Dignidad,PUERTO VARAS,2523
Del pueblo,PUERTO VARAS,1026
Lista del apruebo,PUERTO VARAS,2383
Nueva Constitucion,PUERTO VARAS,1996
Otros,PUERTO VARAS,2751
Vamos por Chile,PUERTO VARAS,6670
Apruebo Dignidad,PUMANQUE,313
Del pueblo,PUMANQUE,240
Lista del apruebo,PUMANQUE,273
Otros,PUMANQUE,698
Vamos por Chile,PUMANQUE,964
Apruebo Dignidad,PUNITAQUI,999
Del pueblo,PUNITAQUI,491
Lista del apruebo,PUNITAQUI,650
Otros,PUNITAQUI,1340
Vamos por Chile,PUNITAQUI,540
Apruebo Dignidad,PUNTA ARENAS,7744
Del pueblo,PUNTA ARENAS,6594
Lista del apruebo,PUNTA ARENAS,5530
Nueva Constitucion,PUNTA ARENAS,3628
Otros,PUNTA ARENAS,10693
Vamos por Chile,PUNTA ARENAS,7952
Apruebo Dignidad,PUQUELDON,7744
Del pueblo,PUQUELDON,407
Lista del apruebo,PUQUELDON,5530
Nueva Constitucion,PUQUELDON,3628
Otros,PUQUELDON,10693
Vamos por Chile,PUQUELDON,7952
Apruebo Dignidad,PUREN,66
Del pueblo,PUREN,196
Lista del apruebo,PUREN,273
Nueva Constitucion,PUREN,2076
Otros,PUREN,769
Vamos por Chile,PUREN,646
Apruebo Dignidad,PURRANQUE,649
Del pueblo,PURRANQUE,406
Lista del apruebo,PURRANQUE,1405
Nueva Constitucion,PURRANQUE,575
Otros,PURRANQUE,661
Vamos por Chile,PURRANQUE,2006
Apruebo Dignidad,PUTAENDO,480
Del pueblo,PUTAENDO,491
Lista del apruebo,PUTAENDO,692
Nueva Constitucion,PUTAENDO,312
Otros,PUTAENDO,3249
Vamos por Chile,PUTAENDO,547
Apruebo Dignidad,PUTRE,83
Lista del apruebo,PUTRE,108
Nueva Constitucion,PUTRE,60
Otros,PUTRE,256
Vamos por Chile,PUTRE,143
Apruebo Dignidad,PUYEHUE,440
Del pueblo,PUYEHUE,174
Lista del apruebo,PUYEHUE,1019
Nueva Constitucion,PUYEHUE,377
Otros,PUYEHUE,702
Vamos por Chile,PUYEHUE,1240
Apruebo Dignidad,QUEILEN,140
Del pueblo,QUEILEN,473
Lista del apruebo,QUEILEN,711
Nueva Constitucion,QUEILEN,165
Otros,QUEILEN,229
Vamos por Chile,QUEILEN,252
Apruebo Dignidad,QUELLON,467
Del pueblo,QUELLON,1183
Lista del apruebo,QUELLON,1807
Nueva Constitucion,QUELLON,546
Otros,QUELLON,416
Vamos por Chile,QUELLON,767
Apruebo Dignidad,QUEMCHI,211
Del pueblo,QUEMCHI,364
Lista del apruebo,QUEMCHI,1015
Nueva Constitucion,QUEMCHI,255
Otros,QUEMCHI,144
Vamos por Chile,QUEMCHI,449
Apruebo Dignidad,QUILACO,183
Lista del apruebo,QUILACO,511
Nueva Constitucion,QUILACO,289
Otros,QUILACO,376
Vamos por Chile,QUILACO,486
Apruebo Dignidad,QUILICURA,20981
Del pueblo,QUILICURA,15817
Lista del apruebo,QUILICURA,5522
Otros,QUILICURA,11906
Vamos por Chile,QUILICURA,6623
Apruebo Dignidad,QUILLECO,20981
Lista del apruebo,QUILLECO,5522
Otros,QUILLECO,11906
Vamos por Chile,QUILLECO,6623
Apruebo Dignidad,QUILLON,421
Del pueblo,QUILLON,857
Lista del apruebo,QUILLON,915
Nueva Constitucion,QUILLON,725
Otros,QUILLON,969
Vamos por Chile,QUILLON,1242
Apruebo Dignidad,QUILLOTA,4340
Del pueblo,QUILLOTA,4610
Lista del apruebo,QUILLOTA,5271
Nueva Constitucion,QUILLOTA,2176
Otros,QUILLOTA,7318
Vamos por Chile,QUILLOTA,4493
Apruebo Dignidad,QUILPUE,8477
Del pueblo,QUILPUE,10928
Lista del apruebo,QUILPUE,7008
Nueva Constitucion,QUILPUE,4717
Otros,QUILPUE,13598
Vamos por Chile,QUILPUE,10158
Apruebo Dignidad,QUINCHAO,165
Del pueblo,QUINCHAO,595
Lista del apruebo,QUINCHAO,1026
Nueva Constitucion,QUINCHAO,199
Otros,QUINCHAO,166
Vamos por Chile,QUINCHAO,283
Apruebo Dignidad,QUINTA DE TILCOCO,864
Del pueblo,QUINTA DE TILCOCO,1051
Lista del apruebo,QUINTA DE TILCOCO,816
Otros,QUINTA DE TILCOCO,1910
Vamos por Chile,QUINTA DE TILCOCO,862
Apruebo Dignidad,QUINTA NORMAL,7162
Del pueblo,QUINTA NORMAL,8749
Lista del apruebo,QUINTA NORMAL,5247
Nueva Constitucion,QUINTA NORMAL,3129
Otros,QUINTA NORMAL,10359
Vamos por Chile,QUINTA NORMAL,4829
Apruebo Dignidad,QUINTERO,1282
Del pueblo,QUINTERO,1997
Lista del apruebo,QUINTERO,1176
Nueva Constitucion,QUINTERO,1073
Otros,QUINTERO,2909
Vamos por Chile,QUINTERO,1481
Apruebo Dignidad,QUIRIHUE,2159
Del pueblo,QUIRIHUE,370
Lista del apruebo,QUIRIHUE,460
Nueva Constitucion,QUIRIHUE,463
Otros,QUIRIHUE,475
Vamos por Chile,QUIRIHUE,802
Apruebo Dignidad,RANCAGUA,8208
Del pueblo,RANCAGUA,16657
Lista del apruebo,RANCAGUA,10374
Otros,RANCAGUA,25727
Vamos por Chile,RANCAGUA,11512
Apruebo Dignidad,RANQUIL,191
Del pueblo,RANQUIL,843
Lista del apruebo,RANQUIL,311
Nueva Constitucion,RANQUIL,250
Otros,RANQUIL,492
Vamos por Chile,RANQUIL,926
Apruebo Dignidad,RAUCO,597
Del pueblo,RAUCO,691
Lista del apruebo,RAUCO,624
Nueva Constitucion,RAUCO,364
Otros,RAUCO,549
Vamos por Chile,RAUCO,1109
Apruebo Dignidad,RECOLETA,11681
Del pueblo,RECOLETA,12675
Lista del apruebo,RECOLETA,3953
Nueva Constitucion,RECOLETA,4547
Otros,RECOLETA,12828
Vamos por Chile,RECOLETA,7392
Apruebo Dignidad,RENAICO,146
Del pueblo,RENAICO,399
Lista del apruebo,RENAICO,1051
Nueva Constitucion,RENAICO,431
Otros,RENAICO,828
Vamos por Chile,RENAICO,834
Apruebo Dignidad,RENCA,8422
Del pueblo,RENCA,10600
Lista del apruebo,RENCA,5773
Nueva Constitucion,RENCA,4234
Otros,RENCA,10995
Vamos por Chile,RENCA,3225
Apruebo Dignidad,RENGO,3614
Del pueblo,RENGO,3271
Lista del apruebo,RENGO,2342
Otros,RENGO,7388
Vamos por Chile,RENGO,2705
Apruebo Dignidad,REQUINOA,854
Del pueblo,REQUINOA,1401
Lista del apruebo,REQUINOA,1280
Otros,REQUINOA,2940
Vamos por Chile,REQUINOA,2632
Apruebo Dignidad,RETIRO,560
Del pueblo,RETIRO,1838
Lista del apruebo,RETIRO,1117
Vamos por Chile,RETIRO,3333
Apruebo Dignidad,RINCONADA,591
Del pueblo,RINCONADA,727
