candidato,votos,electo,lista,comuna,pacto,distrito,region
22. JOSEFA ANDREA FAUNDEZ ESPINOZA (M),527,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),CURACAVI,Del pueblo,D14,Metropolitana
23. FRANCISCO JAVIER CAAMA�O ROJAS (H),554,TRUE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),CURACAVI,Del pueblo,D14,Metropolitana
24. CAROLINA  LASSALLE ALCERRECA (M),250,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),CURACAVI,Del pueblo,D14,Metropolitana
25. RODRIGO ENRIQUE URZUA CHAVEZ (H),205,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),CURACAVI,Del pueblo,D14,Metropolitana
26. CLAUDIA ACEVEDO MORALES (M),345,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),CURACAVI,Del pueblo,D14,Metropolitana
1. ADRIANA CAMILA AMPUERO BARRIENTOS (M),154,TRUE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
2. CHRISTIAN ALEJANDRO RUIZ BAHAMONDE (H),71,FALSE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
3. CLEMENTINA LEPIO MILIPICHUN (M),30,FALSE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
4. DIEGO NICOLAS VALLEJOS GUZMAN (H),30,FALSE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
5. NOELIA DEL CARMEN OJEDA VARGAS (M),16,FALSE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
6. MIGUEL ANGEL MALDONADO CATALAN (H),3,FALSE,INSULARES E INDEPENDIENTES (D26),CURACO DE VELEZ,Del pueblo,D26,Los Lagos
1. LUZ ELIANA ALCA TURRA (M),341,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
2. HELMUTH JACOBO MARTINEZ LLANCAPAN (H),17,TRUE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
3. ROSSANA ANGELICA BETANCUR ESCOBAR (M),8,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
4. ALEJANDRO MAURICIO MELLADO GATICA (H),7,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
5. MARCELA DEL CARMEN LEPILAF PILQUIMAN (M),9,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
6. MARIO JAVIER FLORES CHAVEZ (H),7,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
7. XIMENA ALARCON FUENTEALBA (M),35,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),CURARREHUE,Del pueblo,D23,Araucania
40. ANGELICA MARIA VELASQUEZ PEREZ (M),99,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
41. LUIS EDUARDO HERNANDEZ CAMPOS (H),42,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
42. ELSA CAROLINA LABRA�A PINO (M),45,TRUE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
43. CARLOS HERNAN GREZ ROJAS (H),28,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
44. ANTONIA ELENA ROSALES BARRIENTOS (M),21,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
45. CLAUDIO ANTONIO MOYA MANRIQUEZ (H),25,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
46. CATALINA SOFIA TELLO TAPIA (M),34,FALSE,LA LISTA DEL PUEBLO (D17),CUREPTO,Del pueblo,D17,Maule
40. ANGELICA MARIA VELASQUEZ PEREZ (M),1129,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
41. LUIS EDUARDO HERNANDEZ CAMPOS (H),629,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
42. ELSA CAROLINA LABRA�A PINO (M),3154,TRUE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
43. CARLOS HERNAN GREZ ROJAS (H),627,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
44. ANTONIA ELENA ROSALES BARRIENTOS (M),353,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
45. CLAUDIO ANTONIO MOYA MANRIQUEZ (H),670,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
46. CATALINA SOFIA TELLO TAPIA (M),569,FALSE,LA LISTA DEL PUEBLO (D17),CURICO,Del pueblo,D17,Maule
1. ADRIANA CAMILA AMPUERO BARRIENTOS (M),534,TRUE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
2. CHRISTIAN ALEJANDRO RUIZ BAHAMONDE (H),96,FALSE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
3. CLEMENTINA LEPIO MILIPICHUN (M),105,FALSE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
4. DIEGO NICOLAS VALLEJOS GUZMAN (H),46,FALSE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
5. NOELIA DEL CARMEN OJEDA VARGAS (M),226,FALSE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
6. MIGUEL ANGEL MALDONADO CATALAN (H),14,FALSE,INSULARES E INDEPENDIENTES (D26),DALCAHUE,Del pueblo,D26,Los Lagos
1. CONSTANZA ANDREA SAN JUAN STANDEN (M),321,TRUE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
2. FABIAN CRISTHIAN ARMANDO RABI ORTIZ (H),49,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
3. MARIA PILAR TRIVI�O GONZALEZ (M),80,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
4. OCTAVIO SEBASTIAN ECHEVERRIA ALFARO (H),55,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
5. SILVIA EDITH RODRIGUEZ ROBLES (M),51,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
6. RAUL FERNANDO MIRANDA SILVA (H),36,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,DIEGO DE ALMAGRO,Del pueblo,D4,Atacama
24. LORETO CRISTINA VALLEJOS DAVILA (M),953,TRUE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),DONIHUE,Del pueblo,D15,OHiggins
25. ENRIQUE EDUARDO LOPEZ MENESES (H),213,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),DONIHUE,Del pueblo,D15,OHiggins
26. YANNETT SOLANGE ORTIZ MORALES (M),190,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),DONIHUE,Del pueblo,D15,OHiggins
27. ARTURO ANGEL SALDES NU�EZ (H),74,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),DONIHUE,Del pueblo,D15,OHiggins
28. SEBASTIAN PATRICIO TOBAR VASQUEZ (H),124,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),DONIHUE,Del pueblo,D15,OHiggins
40. INGRID FERNANDA VILLENA NARBONA (M),4817,TRUE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
41. RODRIGO ERNESTO ROJAS VADE (H),3798,TRUE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
42. CAMILA FERNANDA TORRES POVEA (M),1915,FALSE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
43. ANDRES ALEJANDRO CUEVAS NAVALON (H),761,FALSE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
44. MARCELA ALEJANDRA SARMIENTO CERDA (M),714,FALSE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
45. JESUS MOISES COLQUE ROA (H),635,FALSE,LA LISTA DEL PUEBLO (D13),EL BOSQUE,Del pueblo,D13,Metropolitana
5. MARIA CONSUELO VILLASE�OR SOTO (M),203,FALSE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
6. CESAR  URIBE ARAYA (H),562,TRUE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
7. MISAELA  CORTEZ SANHUEZA (M),42,FALSE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
8. NELSON ENRIQUE AGURTO PAVEZ (H),62,FALSE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
9. XIMENA  PACHECO GONZALEZ (M),36,FALSE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
10. SERGIO HUMBERTO FONSECA HENRIQUEZ (H),24,FALSE,"FUERZA SOCIAL DE �UBLE, LA LISTA DEL PUEBLO (D19)",EL CARMEN,Del pueblo,D19,BioBio
22. JOSEFA ANDREA FAUNDEZ ESPINOZA (M),322,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),EL MONTE,Del pueblo,D14,Metropolitana
23. FRANCISCO JAVIER CAAMA�O ROJAS (H),4217,TRUE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),EL MONTE,Del pueblo,D14,Metropolitana
24. CAROLINA  LASSALLE ALCERRECA (M),113,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),EL MONTE,Del pueblo,D14,Metropolitana
25. RODRIGO ENRIQUE URZUA CHAVEZ (H),81,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),EL MONTE,Del pueblo,D14,Metropolitana
26. CLAUDIA ACEVEDO MORALES (M),138,FALSE,LA LISTA DEL PUEBLO DISTRITO 14 (D14),EL MONTE,Del pueblo,D14,Metropolitana
63. CAMILA IGNACIA ZARATE ZARATE (M),533,TRUE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
64. PABLO ALEJANDRO DONOSO CHRISTIE (H),352,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
65. TANIA ISABEL MADRIAGA FLORES (M),158,TRUE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
66. TOMAS IGNACIO LAGOMARSINO GUZMAN (H),116,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
67. PAMELA VIVANCO MONTERO (M),71,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
68. ISAIAS ANTONIO ROJAS PE�A (H),38,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
69. SONIA DEL CARMEN CACERES GONZALEZ (M),68,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
70. FRANCISCO JAVIER SILVA BUSTAMANTE (H),46,FALSE,LA LISTA DEL PUEBLO (D7),EL QUISCO,Del pueblo,D7,Valparaiso
63. CAMILA IGNACIA ZARATE ZARATE (M),476,TRUE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
64. PABLO ALEJANDRO DONOSO CHRISTIE (H),227,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
65. TANIA ISABEL MADRIAGA FLORES (M),125,TRUE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
66. TOMAS IGNACIO LAGOMARSINO GUZMAN (H),167,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
67. PAMELA VIVANCO MONTERO (M),69,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
68. ISAIAS ANTONIO ROJAS PE�A (H),177,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
69. SONIA DEL CARMEN CACERES GONZALEZ (M),44,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
70. FRANCISCO JAVIER SILVA BUSTAMANTE (H),37,FALSE,LA LISTA DEL PUEBLO (D7),EL TABO,Del pueblo,D7,Valparaiso
40. ANGELICA MARIA VELASQUEZ PEREZ (M),67,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
41. LUIS EDUARDO HERNANDEZ CAMPOS (H),27,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
42. ELSA CAROLINA LABRA�A PINO (M),29,TRUE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
43. CARLOS HERNAN GREZ ROJAS (H),21,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
44. ANTONIA ELENA ROSALES BARRIENTOS (M),15,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
45. CLAUDIO ANTONIO MOYA MANRIQUEZ (H),11,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
46. CATALINA SOFIA TELLO TAPIA (M),25,FALSE,LA LISTA DEL PUEBLO (D17),EMPEDRADO,Del pueblo,D17,Maule
17. ALEJANDRA DAMARIS DEPAOLI PLATTER (M),72,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),ERCILLA,Del pueblo,D22,Araucania
18. PABLO ANDRES TAPIA PINTO (H),50,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),ERCILLA,Del pueblo,D22,Araucania
19. LUZ ELIANA SANCHEZ LAGOS (M),34,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),ERCILLA,Del pueblo,D22,Araucania
20. OSCAR JAVIER SALAZAR ASTUDILLO (H),10,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),ERCILLA,Del pueblo,D22,Araucania
21. CRISTIAN ANDRES CORDOVA ARRIAGADA (H),34,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),ERCILLA,Del pueblo,D22,Araucania
46. MARIA MAGDALENA RIVERA IRIBARREN (M),1751,TRUE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
47. MARCO ANTONIO ARELLANO ORTEGA (H),1364,TRUE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
48. PALOMBA JAEL ALBARRACIN MORI (M),796,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
49. DANIEL TRUJILLO RIVAS (H),761,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
50. CLAUDIA SOLEDAD FIGUEROA SEPULVEDA (M),893,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
51. PABLO ANDRES CRUZ RAMIREZ (H),255,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
52. KAREN FRANCISCA ORELLANA SULLIVAN (M),1076,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
53. GERARDO ANTONIO ITURRA GARCIA (H),311,FALSE,LA LISTA DEL PUEBLO (D8),ESTACION CENTRAL,Del pueblo,D8,Metropolitana
43. ROSSANA LORETO VIDAL HERNANDEZ (M),62,TRUE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
44. RICARDO HERNAN MAHNKE CONTRERAS (H),30,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
45. MARIA CONSUELO MOLINA RODRIGUEZ (M),21,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
46. CARLOS RODRIGO CONCHA ESCANDON (H),14,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
47. LIDIA ISABEL ESPINOZA SANHUEZA (M),10,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
48. FERNANDO ENRIQUE DAZA MARDONES (H),16,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
49. MARIA VALERIA MELGAREJO TOLEDO (M),8,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
50. MIGUEL ESTEBAN ERICES ARROYO (H),12,FALSE,LA LISTA DEL PUEBLO(D20),FLORIDA,Del pueblo,D20,BioBio
1. LUZ ELIANA ALCA TURRA (M),127,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
2. HELMUTH JACOBO MARTINEZ LLANCAPAN (H),31,TRUE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
3. ROSSANA ANGELICA BETANCUR ESCOBAR (M),38,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
4. ALEJANDRO MAURICIO MELLADO GATICA (H),44,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
5. MARCELA DEL CARMEN LEPILAF PILQUIMAN (M),81,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
6. MARIO JAVIER FLORES CHAVEZ (H),67,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
7. XIMENA ALARCON FUENTEALBA (M),84,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),FREIRE,Del pueblo,D23,Araucania
1. CONSTANZA ANDREA SAN JUAN STANDEN (M),252,TRUE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
2. FABIAN CRISTHIAN ARMANDO RABI ORTIZ (H),27,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
3. MARIA PILAR TRIVI�O GONZALEZ (M),483,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
4. OCTAVIO SEBASTIAN ECHEVERRIA ALFARO (H),23,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
5. SILVIA EDITH RODRIGUEZ ROBLES (M),18,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
6. RAUL FERNANDO MIRANDA SILVA (H),25,FALSE,ASAMBLEA CONSTITUYENTE ATACAMA,FREIRINA,Del pueblo,D4,Atacama
1. VICTORIA PILAR ARRIAGADA OYARZUN (M),124,FALSE,LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),FRESIA,Del pueblo,D25,Los Lagos
2. AQUILES BERNABE MERCADO RIOSECO (H),30,FALSE,LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),FRESIA,Del pueblo,D25,Los Lagos
1. VICTORIA PILAR ARRIAGADA OYARZUN (M),261,FALSE,LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),FRUTILLAR,Del pueblo,D25,Los Lagos
2. AQUILES BERNABE MERCADO RIOSECO (H),86,FALSE,LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),FRUTILLAR,Del pueblo,D25,Los Lagos
1. ADRIANA CAMILA AMPUERO BARRIENTOS (M),23,TRUE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
2. CHRISTIAN ALEJANDRO RUIZ BAHAMONDE (H),13,FALSE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
3. CLEMENTINA LEPIO MILIPICHUN (M),10,FALSE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
4. DIEGO NICOLAS VALLEJOS GUZMAN (H),13,FALSE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
5. NOELIA DEL CARMEN OJEDA VARGAS (M),3,FALSE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
6. MIGUEL ANGEL MALDONADO CATALAN (H),5,FALSE,INSULARES E INDEPENDIENTES (D26),FUTALEUFU,Del pueblo,D26,Los Lagos
10. NICOLE ALEJANDRA CORNEJO PINO (M),124,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
11. EDUARDO ENRIQUE RAMIREZ BLAMEY (H),20,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
12. PATRICIA CECILIA VELOSO ESTUARDO (M),122,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
13. RICARDO ESTEBAN VENEGAS CURRIHUIL (H),34,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
14. VANNIA LORENA PACHECO BUSTOS (M),42,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
15. FREDDY ANDRES SANDOVAL GONZALEZ (H),41,FALSE,LISTA DEL PUEBLO-RIOS INDEPENDIENTES (D24),FUTRONO,Del pueblo,D24,Los Rios
17. ALEJANDRA DAMARIS DEPAOLI PLATTER (M),121,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),GALVARINO,Del pueblo,D22,Araucania
18. PABLO ANDRES TAPIA PINTO (H),89,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),GALVARINO,Del pueblo,D22,Araucania
19. LUZ ELIANA SANCHEZ LAGOS (M),68,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),GALVARINO,Del pueblo,D22,Araucania
20. OSCAR JAVIER SALAZAR ASTUDILLO (H),30,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),GALVARINO,Del pueblo,D22,Araucania
21. CRISTIAN ANDRES CORDOVA ARRIAGADA (H),19,FALSE,MOVIMIENTO SOCIAL LA LISTA DEL PUEBLO (D22),GALVARINO,Del pueblo,D22,Araucania
1. LUZ ELIANA ALCA TURRA (M),157,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
2. HELMUTH JACOBO MARTINEZ LLANCAPAN (H),63,TRUE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
3. ROSSANA ANGELICA BETANCUR ESCOBAR (M),69,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
4. ALEJANDRO MAURICIO MELLADO GATICA (H),49,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
5. MARCELA DEL CARMEN LEPILAF PILQUIMAN (M),87,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
6. MARIO JAVIER FLORES CHAVEZ (H),50,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
7. XIMENA ALARCON FUENTEALBA (M),106,FALSE,ELIGE LA LISTA DEL PUEBLO (D23),GORBEA,Del pueblo,D23,Araucania
24. LORETO CRISTINA VALLEJOS DAVILA (M),565,TRUE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),GRANEROS,Del pueblo,D15,OHiggins
25. ENRIQUE EDUARDO LOPEZ MENESES (H),277,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),GRANEROS,Del pueblo,D15,OHiggins
26. YANNETT SOLANGE ORTIZ MORALES (M),163,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),GRANEROS,Del pueblo,D15,OHiggins
27. ARTURO ANGEL SALDES NU�EZ (H),116,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),GRANEROS,Del pueblo,D15,OHiggins
28. SEBASTIAN PATRICIO TOBAR VASQUEZ (H),236,FALSE,LA LISTA DEL PUEBLO 100% INDEPENDIENTES (D15),GRANEROS,Del pueblo,D15,OHiggins
1. DEISY PAULINA AVENDA�O AVENDA�O (M),17,FALSE,"A PULSO, POR EL BUEN VIVIR (D27)",GUAITECAS,Del pueblo,D27,Aisen
2. PATRICIO ORLANDO SEGURA ORTIZ (H),15,FALSE,"A PULSO, POR EL BUEN VIVIR (D27)",GUAITECAS,Del pueblo,D27,Aisen
3. ILSIE BEATRIZ WOLF HERRERA (M),6,FALSE,"A PULSO, POR EL BUEN VIVIR (D27)",GUAITECAS,Del pueblo,D27,Aisen
4. CECILIO ALIER AGUILAR GALINDO (H),1,FALSE,"A PULSO, POR EL BUEN VIVIR (D27)",GUAITECAS,Del pueblo,D27,Aisen
5. JORGE CONTRERAS MU�OZ (H),6,FALSE,"A PULSO, POR EL BUEN VIVIR (D27)",GUAITECAS,Del pueblo,D27,Aisen
1. LISETTE LORENA VERGARA RIQUELME (M),211,TRUE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
2. CRISTOBAL PATRICIO ANDRADE LEON (H),133,TRUE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
3. VALERIA ELISA RETAMALES CORDOVA (M),104,FALSE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
4. MANUEL ALEJANDRO GATICA JORQUERA (H),89,FALSE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
5. ALEXANDRA MARIANA PEREZ CEPEDA (M),153,FALSE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
6. RUBEN SEBASTIAN MIRANDA VASQUEZ (H),61,FALSE,INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6),HIJUELAS,Del pueblo,D6,Valparaiso
